Designator,Mid X,Mid Y,Rotation,Layer
C1,136.05,-75.1,0.0,top
C2,143.1,-75.1,0.0,top
C3,150.25,-75.1,0.0,top
C4,145.35,-111.55,0.0,top
C5,148.75,-80.8,0.0,bottom
C6,156.95,-86.15,90.0,bottom
C7,149.9925,-97.6,0.0,bottom
C8,144.8925,-102.85,270.0,bottom
D1,163.35,-72.05,0.0,top
D2,163.35,-75.125,0.0,top
D3,163.35,-78.2,0.0,top
DIG1,137.1,-111.55,0.0,top
DIG2,129.9,-111.55,0.0,top
J1,122.95,-79.1,0.0,top
J2,122.95,-87.333333,0.0,top
J3,122.95,-95.566666,0.0,top
J4,122.95,-103.8,0.0,top
J5,173.0,-111.0,0.0,top
J6,173.0,-73.0,0.0,top
PS1,159.8,-95.45,180.0,top
R1,159.5,-72.075,180.0,top
R2,159.5,-75.1375,180.0,top
R3,159.5,-78.2,180.0,top
U1,150.2,-88.15,270.0,bottom
U2,151.75,-103.35,180.0,bottom
