Designator,Mid X,Mid Y,Rotation,Layer
C1,153.5,-98.5,0.0,top
D1,159.65,-72.15,270.0,top
J1,132.95,-64.5,270.0,top
J2,158.05,-89.5,90.0,top
J3,132.5,-77.97,270.0,top
J4,132.5,-94.2875,270.0,top
R1,144.5,-74.5,90.0,top
