Designator,Mid X,Mid Y,Rotation,Layer
C1,212.5,-96.522934,90.0,top
C2,181.0,-96.522935,90.0,top
C3,150.0,-96.517934,90.0,top
C4,212.0,-65.505,90.0,top
C5,181.0,-65.505,90.0,top
C6,150.0,-65.5,90.0,top
D1,182.2,-125.5,0.0,top
D2,169.6,-133.05,90.0,bottom
D3,178.3,-125.5,0.0,top
D4,222.3,-111.2,90.0,top
D5,178.5,-111.0,180.0,top
D6,182.3,-111.0,180.0,top
D7,224.8,-111.2,90.0,top
D8,169.6,-118.3,-90.0,bottom
F1,172.35,-125.7125,180.0,top
F2,172.45,-111.5125,180.0,top
J1,193.7575,-133.55,0.0,top
J2,137.95,-129.8375,90.0,top
J3,148.625,-129.8375,90.0,top
J4,154.15,-114.9,90.0,top
J5,147.05,-114.9,90.0,top
J6,137.8,-114.9,90.0,top
J7,224.15,-121.9575,-90.0,top
R1,175.8,-134.6,90.0,bottom
R10,224.8,-115.3,-90.0,top
R11,172.925,-119.25,90.0,bottom
R12,178.5,-114.5,0.0,bottom
R13,196.8375,-55.5,180.0,bottom
R2,172.925,-134.0,-90.0,bottom
R3,196.6625,-96.5,180.0,bottom
R5,206.5,-91.0,90.0,bottom
R6,178.2,-128.8,0.0,bottom
R7,222.3,-115.3,-90.0,top
R8,175.8,-119.85,90.0,bottom
R9,206.5,-61.8,90.0,bottom
