Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",1206,6,0.1u 100V,
"H1, H3, H4",MountingHole_3.2mm_M3,3,MountingHole,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,12,Conn_01x03_Pin,
J13,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02_Pin,
