Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5",CP_Radial_D30.0mm_P10.00mm_SnapIn,4,15000U,
C3,CP_Radial_D8.0mm_P5.00mm,1,220u,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,12V,
D2,D_SMA,1,1N4001,
"D3, D4",0805,2,YELLOW,
"D5, D7",0805,2,BLUE,
D6,0805,1,RED,
"F1, F2",Aliexpress Fuse 5x20,2,Fuse_Small,
"H1, H3",MountingHole_3mm,2,MountingHole,
"H2, H4",MountingHole_3.2mm_M3,2,MountingHole,
"J1, J10, J2, J3, J4, J9",JST_VH_B3P-VH_1x03_P3.96mm_Vertical,6,Conn_01x03_Male,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
J7,JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical,1,Conn_01x02_Male,
K1,Relay_DPDT_Omron_G2RL-2,1,Relay_DPDT,
Q1,SOT-23_Handsoldering,1,2SC1945,
R1,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,360R 2W,
"R11, R5, R6, R9",0805,4,9.1K,
R2,0603,1,1K,
R3,0805,1,275R,
"R4, R8",R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,2,1.2K,
