Designator,Mid X,Mid Y,Rotation,Layer
C1,80.6,-38.2,90.0,top
C10,87.05,-46.6125,90.0,top
C11,87.05,-52.0,270.0,top
C12,47.7875,-45.6206,0.0,top
C13,82.4,-55.1625,90.0,top
C14,85.6,-59.6,0.0,top
C15,47.8375,-48.75,0.0,top
C16,84.0375,-61.975,180.0,top
C17,87.8,-67.5,270.0,top
C18,47.8375,-52.0,0.0,top
C19,66.0375,-64.0,0.0,top
C2,60.3,-34.2375,270.0,top
C20,79.6,-64.3625,270.0,top
C21,46.7875,-63.5,90.0,top
C22,48.8375,-63.5,270.0,top
C23,81.8,-65.975,270.0,top
C24,68.1375,-66.35,0.0,top
C26,43.05,-60.25,0.0,top
C27,42.45,-62.55,0.0,top
C28,48.3,-72.75,90.0,top
C3,66.8,-34.2375,270.0,top
C4,74.0,-41.4,90.0,top
C5,67.4,-46.2,90.0,top
C6,77.15,-47.0,270.0,top
C7,80.15,-48.25,270.0,top
C8,82.4,-45.5,90.0,top
C9,69.65,-48.5375,90.0,top
D1,53.8,-35.5,0.0,top
D2,53.8,-37.6,0.0,top
D3,53.8,-39.7,0.0,top
J1,45.9,-26.4,0.0,top
J11,65.4,-77.8,90.0,top
J12,58.2,-27.95,180.0,top
J13,71.92,-70.8,90.0,top
J14,53.6,-47.275,180.0,top
J15,42.05,-69.04,180.0,top
J2,67.4,-27.95,180.0,top
J3,83.05,-28.275,180.0,top
J4,41.05,-35.75,270.0,top
J5,89.875,-40.4,270.0,top
J6,90.85,-54.35,0.0,top
J7,40.8,-46.25,90.0,top
J8,90.85,-63.4,180.0,top
J9,40.8,-55.0,90.0,top
R1,62.8,-34.2075,270.0,top
R10,59.15,-76.75,180.0,top
R11,66.8,-74.6,0.0,top
R12,47.55,-42.75,180.0,top
R13,47.05,-55.5,90.0,top
R14,47.55,-40.0,180.0,bottom
R15,64.9625,-57.5,0.0,top
R16,64.9625,-53.5,0.0,top
R17,64.9625,-55.5,0.0,top
R18,64.9625,-60.0,0.0,top
R2,69.3,-34.2075,270.0,top
R3,47.8,-66.25,0.0,top
R4,46.4,-71.45,90.0,top
R5,57.475,-35.465,0.0,bottom
R6,57.475,-37.5825,0.0,bottom
R7,57.475,-39.7,0.0,bottom
R9,55.55,-76.75,180.0,top
U1,90.3,-46.6,90.0,top
U2,74.2,-55.6,270.0,top
U3,56.4,-63.2,0.0,top
X1,62.3,-49.5,0.0,top
